Time - Pre2	TTL signal - Pre2	Time - Pre	TTL signal - Pre	
0.215625	24.3869	0.635938	15.2289	
0.217188	4.40583	0.6375	42.4948	
0.21875	15.0208	0.639063	22.0974	
0.220313	7.73601	0.640625	34.7937	
0.221875	1.70006	0.642188	18.351	
0.223438	30.2147	0.64375	47.9063	
0.225	2.5326	0.645313	5.23837	
0.226562	46.0331	0.646875	0.0349669	
0.228125	24.3869	0.648437	19.1835	
0.229688	21.2649	0.65	31.0473	
0.23125	22.93	0.651563	27.0927	
0.232813	-2.0464	0.653125	15.2289	
0.234375	1.90819	0.654688	19.5998	
0.235938	18.1428	0.65625	29.5903	
0.2375	-2.46267	0.657813	31.8798	
0.239063	16.894	0.659375	29.3822	
0.240625	34.7937	0.660938	35.4181	
0.242187	4.40583	0.6625	49.1551	
0.24375	1.90819	0.664062	47.2819	
0.245313	28.1334	0.665625	0.659376	
0.246875	-4.12776	0.667188	42.0785	
0.248438	14.8126	0.66875	39.789	
0.25	0.451239	0.670313	13.3557	
0.251563	-0.381306	0.671875	40.8297	
0.253125	17.3103	0.673438	21.6811	
0.254688	16.4777	0.675	20.8486	
0.25625	-6.20912	0.676563	7.52787	
0.257812	2.11633	0.678125	30.0066	
0.259375	-6.00098	0.679687	31.4635	
0.260937	7.94414	0.68125	25.4276	
0.2625	12.9394	0.682813	20.6405	
0.264063	26.6764	0.684375	31.0473	
0.265625	13.1475	0.685938	33.9612	
0.267188	13.3557	0.6875	17.3103	
0.26875	8.15228	0.689063	7.94414	
0.270313	22.0974	0.690625	22.7218	
0.271875	10.0255	0.692188	36.8751	
0.273437	29.174	0.69375	10.2336	
0.275	-2.6708	0.695312	23.3462	
0.276562	-18.281	0.696875	36.4588	
0.278125	-9.5393	0.698438	27.3008	
0.279688	-4.54403	0.7	48.947	
0.28125	-29.1041	0.701563	17.1021	
0.282813	-15.7834	0.703125	48.1144	
0.284375	4.8221	0.704688	11.8987	
0.285938	-22.0275	0.70625	-18.6973	
0.2875	6.90346	0.707813	38.1239	
0.289062	-9.95557	0.709375	9.4011	
0.290625	-16.6159	0.710937	35.4181	
0.292187	12.7313	0.7125	28.5496	
0.29375	2.11633	0.714063	10.0255	
0.295313	6.48719	0.715625	7.1116	
0.296875	-27.439	0.717188	18.1428	
0.298438	24.8032	0.71875	41.4541	
0.3	35.8344	0.720313	21.8893	
0.301563	8.56855	0.721875	52.2772	
0.303125	26.052	0.723438	38.5402	
0.304687	5.23837	0.725	20.6405	
0.30625	-8.91489	0.726562	34.3774	
0.307813	14.3964	0.728125	52.9016	
0.309375	4.40583	0.729688	37.2914	
0.310938	18.9754	0.73125	2.5326	
0.3125	25.8439	0.732813	23.7625	
0.314063	9.60923	0.734375	32.9205	
0.315625	14.3964	0.735938	46.8656	
0.317188	11.6906	0.7375	41.2459	
0.31875	19.1835	0.739063	54.5667	
0.320312	4.8221	0.740625	28.5496	
0.321875	-7.66607	0.742187	34.1693	
0.323438	15.437	0.74375	27.3008	
0.325	-0.589442	0.745313	14.6045	
0.326563	12.7313	0.746875	21.6811	
0.328125	25.6357	0.748438	42.2866	
0.329688	19.3916	0.75	37.2914	
0.33125	2.74074	0.751563	32.0879	
0.332813	-0.173169	0.753125	31.2554	
0.334375	17.1021	0.754688	26.6764	
0.335937	-21.6112	0.75625	17.7265	
0.3375	6.27905	0.757812	30.8391	
0.339063	-13.0776	0.759375	-3.91962	
0.340625	-11.4125	0.760938	27.0927	
0.342188	-18.281	0.7625	23.5544	
0.34375	-11.2044	0.764063	22.7218	
0.345313	-10.3718	0.765625	45.8249	
0.346875	-19.3217	0.767188	23.9706	
0.348438	-18.281	0.76875	30.0066	
0.35	-14.3264	0.770313	26.4683	
0.351562	-43.4655	0.771875	40.6215	
0.353125	-18.6973	0.773437	22.3055	
0.354688	-19.3217	0.775	9.19296	
0.35625	-18.4892	0.776563	29.174	
0.357813	-17.0322	0.778125	23.5544	
0.359375	-31.1855	0.779688	26.2601	
0.360938	-35.9726	0.78125	23.1381	
0.3625	-12.2451	0.782813	48.3226	
0.364063	-9.5393	0.784375	47.6982	
0.365625	-30.3529	0.785938	42.911	
0.367187	-6.00098	0.7875	17.5184	
0.36875	-12.0369	0.789062	39.3727	
0.370313	-2.6708	0.790625	19.3916	
0.371875	-13.0776	0.792188	40.8297	
0.373438	-21.6112	0.79375	24.1788	
0.375	-31.6017	0.795313	42.911	
0.376563	-15.5753	0.796875	29.5903	
0.378125	2.11633	0.798438	31.6717	
0.379688	-12.0369	0.8	27.5089	
0.38125	-14.3264	0.801563	-1.83826	
0.382812	-3.29521	0.803125	25.2195	
0.384375	10.2336	0.804687	14.1882	
0.385938	-16.6159	0.80625	21.6811	
0.3875	-27.439	0.807813	41.0378	
0.389063	-24.317	0.809375	1.49192	
0.390625	-23.0682	0.810938	22.93	
0.392188	-27.2309	0.8125	2.74074	
0.39375	-9.5393	0.814063	35.21	
0.395313	-1.63012	0.815625	33.3368	
0.396875	9.60923	0.817188	13.1475	
0.398437	12.7313	0.81875	8.98482	
0.4	-23.4844	0.820312	11.2743	
0.401563	-3.50335	0.821875	12.1069	
0.403125	1.70006	0.823438	14.8126	
0.404688	-11.6207	0.825	15.0208	
0.40625	-19.3217	0.826563	20.016	
0.407813	-22.2356	0.828125	46.6575	
0.409375	-6.41726	0.829688	11.4825	
0.410938	-3.29521	0.83125	7.52787	
0.4125	-15.5753	0.832813	34.3774	
0.414062	-11.4125	0.834375	34.3774	
0.415625	-16.1997	0.835937	33.1286	
0.417188	7.94414	0.8375	44.5761	
0.41875	-13.0776	0.839063	28.9659	
0.420313	-26.3983	0.840625	25.4276	
0.421875	10.0255	0.842188	20.4323	
0.423438	-5.37658	0.84375	36.2507	
0.425	-6.62539	0.845313	23.5544	
0.426563	-4.12776	0.846875	26.6764	
0.428125	-8.29048	0.848438	30.0066	
0.429687	12.5231	0.85	42.7029	
0.43125	-9.74744	0.851562	32.2961	
0.432813	7.31974	0.853125	27.3008	
0.434375	8.56855	0.854688	47.2819	
0.435938	-8.70675	0.85625	34.7937	
0.4375	-11.8288	0.857813	32.0879	
0.439063	-30.1448	0.859375	36.2507	
0.440625	14.6045	0.860938	24.1788	
0.442188	-7.45794	0.8625	34.1693	
0.44375	-7.66607	0.864063	36.6669	
