Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	table - Plot 1	
0	-106.358	0	-106.358	
0.0015625	-104.068	0.0015625	-104.068	
0.003125	-118.43	0.003125	-118.43	
0.0046875	-121.135	0.0046875	-121.135	
0.00625	-125.298	0.00625	-125.298	
0.0078125	-103.027	0.0078125	-103.027	
0.009375	-89.0823	0.009375	-89.0823	
0.0109375	-107.398	0.0109375	-107.398	
0.0125	-98.0322	0.0125	-98.0322	
0.0140625	-106.358	0.0140625	-106.358	
0.015625	-96.7833	0.015625	-96.7833	
0.0171875	-133.623	0.0171875	-133.623	
0.01875	-97.1996	0.01875	-97.1996	
0.0203125	-103.236	0.0203125	-103.236	
0.021875	-111.145	0.021875	-111.145	
0.0234375	-110.104	0.0234375	-110.104	
0.025	-93.6613	0.025	-93.6613	
0.0265625	-115.932	0.0265625	-115.932	
0.028125	-115.932	0.028125	-115.932	
0.0296875	-108.439	0.0296875	-108.439	
0.03125	-108.855	0.03125	-108.855	
0.0328125	-108.439	0.0328125	-108.439	
0.034375	-126.963	0.034375	-126.963	
0.0359375	-121.76	0.0359375	-121.76	
0.0375	-115.516	0.0375	-115.516	
0.0390625	-111.145	0.0390625	-111.145	
0.040625	-102.611	0.040625	-102.611	
0.0421875	-95.3264	0.0421875	-95.3264	
0.04375	-108.439	0.04375	-108.439	
0.0453125	-103.86	0.0453125	-103.86	
0.046875	-115.724	0.046875	-115.724	
0.0484375	-117.181	0.0484375	-117.181	
0.05	-91.3718	0.05	-91.3718	
0.0515625	-105.525	0.0515625	-105.525	
0.053125	-116.14	0.053125	-116.14	
0.0546875	-122.384	0.0546875	-122.384	
0.05625	-106.982	0.05625	-106.982	
0.0578125	-99.281	0.0578125	-99.281	
0.059375	-121.135	0.059375	-121.135	
0.0609375	-102.611	0.0609375	-102.611	
0.0625	-112.81	0.0625	-112.81	
0.0640625	-107.398	0.0640625	-107.398	
0.065625	-90.7474	0.065625	-90.7474	
0.0671875	-93.4532	0.0671875	-93.4532	
0.06875	-104.484	0.06875	-104.484	
0.0703125	-100.322	0.0703125	-100.322	
0.071875	-43.0842	0.071875	-43.0842	
0.0734375	-86.3765	0.0734375	-86.3765	
0.075	-71.1826	0.075	-71.1826	
0.0765625	-78.2592	0.0765625	-78.2592	
0.078125	-93.4532	0.078125	-93.4532	
0.0796875	-96.3671	0.0796875	-96.3671	
0.08125	-88.666	0.08125	-88.666	
0.0828125	-82.2138	0.0828125	-82.2138	
0.084375	-88.2498	0.084375	-88.2498	
0.0859375	-108.855	0.0859375	-108.855	
0.0875	-133.623	0.0875	-133.623	
0.0890625	-120.927	0.0890625	-120.927	
0.090625	-93.4532	0.090625	-93.4532	
0.0921875	-107.815	0.0921875	-107.815	
0.09375	-98.6566	0.09375	-98.6566	
0.0953125	-108.023	0.0953125	-108.023	
0.096875	-94.4939	0.096875	-94.4939	
0.0984375	-86.7928	0.0984375	-86.7928	
0.1	-101.987	0.1	-101.987	
0.101562	-106.149	0.101562	-106.149	
0.103125	-92.6206	0.103125	-92.6206	
0.104688	-99.281	0.104688	-99.281	
0.10625	-109.896	0.10625	-109.896	
0.107813	-99.4891	0.107813	-99.4891	
0.109375	-112.81	0.109375	-112.81	
0.110938	-105.525	0.110938	-105.525	
0.1125	-77.2185	0.1125	-77.2185	
0.114063	-92.2044	0.114063	-92.2044	
0.115625	-87.2091	0.115625	-87.2091	
0.117187	-102.819	0.117187	-102.819	
0.11875	-124.257	0.11875	-124.257	
0.120313	-101.987	0.120313	-101.987	
0.121875	-114.475	0.121875	-114.475	
0.123438	-109.48	0.123438	-109.48	
0.125	-93.245	0.125	-93.245	
0.126562	-116.556	0.126562	-116.556	
0.128125	-98.2403	0.128125	-98.2403	
0.129688	-107.815	0.129688	-107.815	
0.13125	-96.1589	0.13125	-96.1589	
0.132812	-119.47	0.132812	-119.47	
0.134375	-123.841	0.134375	-123.841	
0.135938	-112.185	0.135938	-112.185	
0.1375	-109.896	0.1375	-109.896	
0.139063	-102.403	0.139063	-102.403	
0.140625	-100.114	0.140625	-100.114	
0.142187	-99.281	0.142187	-99.281	
0.14375	-94.2857	0.14375	-94.2857	
0.145313	-101.779	0.145313	-101.779	
0.146875	-114.267	0.146875	-114.267	
0.148437	-111.353	0.148437	-111.353	
0.15	-85.7521	0.15	-85.7521	
0.151563	-106.982	0.151563	-106.982	
0.153125	-78.4674	0.153125	-78.4674	
0.154688	-100.322	0.154688	-100.322	
0.15625	-113.434	0.15625	-113.434	
0.157813	-117.597	0.157813	-117.597	
0.159375	-115.516	0.159375	-115.516	
0.160938	-102.403	0.160938	-102.403	
0.1625	-111.977	0.1625	-111.977	
0.164062	-108.855	0.164062	-108.855	
0.165625	-122.592	0.165625	-122.592	
0.167188	-107.606	0.167188	-107.606	
0.16875	-91.5799	0.16875	-91.5799	
0.170313	-124.465	0.170313	-124.465	
0.171875	-114.683	0.171875	-114.683	
0.173438	-102.195	0.173438	-102.195	
0.175	-111.977	0.175	-111.977	
0.176563	-118.846	0.176563	-118.846	
0.178125	-100.322	0.178125	-100.322	
0.179687	-100.946	0.179687	-100.946	
0.18125	-102.403	0.18125	-102.403	
0.182813	-126.755	0.182813	-126.755	
0.184375	-105.317	0.184375	-105.317	
0.185938	-86.7928	0.185938	-86.7928	
0.1875	-104.276	0.1875	-104.276	
0.189063	-98.0322	0.189063	-98.0322	
0.190625	-118.013	0.190625	-118.013	
0.192188	-89.9149	0.192188	-89.9149	
0.19375	-93.0369	0.19375	-93.0369	
0.195312	-98.4484	0.195312	-98.4484	
0.196875	-124.882	0.196875	-124.882	
0.198438	-103.027	0.198438	-103.027	
0.2	-111.977	0.2	-111.977	
0.201563	-104.693	0.201563	-104.693	
0.203125	-114.683	0.203125	-114.683	
0.204688	-89.4986	0.204688	-89.4986	
0.20625	-108.439	0.20625	-108.439	
0.207813	-74.5128	0.207813	-74.5128	
0.209375	-120.719	0.209375	-120.719	
0.210937	-93.8694	0.210937	-93.8694	
0.2125	-142.365	0.2125	-142.365	
0.214063	-112.81	0.214063	-112.81	
0.215625	-111.977	0.215625	-111.977	
0.217188	-96.9915	0.217188	-96.9915	
0.21875	-107.815	0.21875	-107.815	
0.220313	-88.0416	0.220313	-88.0416	
0.221875	-108.647	0.221875	-108.647	
0.223438	-121.76	0.223438	-121.76	
0.225	-103.652	0.225	-103.652	
0.226562	-95.3264	0.226562	-95.3264	
0.228125	-100.114	0.228125	-100.114	
0.229688	-123.009	0.229688	-123.009	
0.23125	-116.973	0.23125	-116.973	
0.232813	-103.236	0.232813	-103.236	
0.234375	-134.664	0.234375	-134.664	
0.235938	-122.8	0.235938	-122.8	
0.2375	-98.0322	0.2375	-98.0322	
0.239063	-102.403	0.239063	-102.403	
0.240625	-107.606	0.240625	-107.606	
0.242187	-115.932	0.242187	-115.932	
0.24375	-103.236	0.24375	-103.236	
0.245313	-102.611	0.245313	-102.611	
0.246875	-113.018	0.246875	-113.018	
0.248438	-124.882	0.248438	-124.882	
0.25	-112.185	0.25	-112.185	
0.251563	-110.52	0.251563	-110.52	
0.253125	-113.226	0.253125	-113.226	
0.254688	-108.647	0.254688	-108.647	
0.25625	-98.4484	0.25625	-98.4484	
0.257812	-85.9603	0.257812	-85.9603	
0.259375	-115.307	0.259375	-115.307	
0.260937	-100.53	0.260937	-100.53	
0.2625	-112.394	0.2625	-112.394	
0.264063	-111.561	0.264063	-111.561	
0.265625	-115.307	0.265625	-115.307	
0.267188	-99.6973	0.267188	-99.6973	
0.26875	-115.724	0.26875	-115.724	
0.270313	-128.42	0.270313	-128.42	
0.271875	-105.109	0.271875	-105.109	
0.273437	-98.4484	0.273437	-98.4484	
0.275	-95.9508	0.275	-95.9508	
0.276562	-94.9101	0.276562	-94.9101	
0.278125	-116.973	0.278125	-116.973	
0.279688	-109.688	0.279688	-109.688	
0.28125	-124.049	0.28125	-124.049	
0.282813	-88.2498	0.282813	-88.2498	
0.284375	-110.728	0.284375	-110.728	
0.285938	-104.693	0.285938	-104.693	
0.2875	-103.027	0.2875	-103.027	
0.289062	-103.652	0.289062	-103.652	
0.290625	-82.6301	0.290625	-82.6301	
0.292187	-98.0322	0.292187	-98.0322	
0.29375	-104.693	0.29375	-104.693	
0.295313	-104.276	0.295313	-104.276	
0.296875	-115.307	0.296875	-115.307	
0.298438	-128.42	0.298438	-128.42	
0.3	-118.013	0.3	-118.013	
0.301563	-113.851	0.301563	-113.851	
0.303125	-83.8789	0.303125	-83.8789	
0.304687	-123.009	0.304687	-123.009	
0.30625	-113.226	0.30625	-113.226	
0.307813	-121.135	0.307813	-121.135	
0.309375	-126.963	0.309375	-126.963	
0.310938	-109.063	0.310938	-109.063	
0.3125	-126.339	0.3125	-126.339	
0.314063	-89.2904	0.314063	-89.2904	
0.315625	-98.4484	0.315625	-98.4484	
0.317188	-118.43	0.317188	-118.43	
0.31875	-116.348	0.31875	-116.348	
0.320312	-110.52	0.320312	-110.52	
0.321875	-98.4484	0.321875	-98.4484	
0.323438	-109.688	0.323438	-109.688	
0.325	-88.0416	0.325	-88.0416	
0.326563	-94.702	0.326563	-94.702	
0.328125	-103.444	0.328125	-103.444	
0.329688	-104.901	0.329688	-104.901	
0.33125	-130.085	0.33125	-130.085	
0.332813	-99.0728	0.332813	-99.0728	
0.334375	-115.099	0.334375	-115.099	
0.335937	-116.348	0.335937	-116.348	
0.3375	-121.343	0.3375	-121.343	
0.339063	-122.8	0.339063	-122.8	
0.340625	-118.43	0.340625	-118.43	
0.342188	-107.398	0.342188	-107.398	
0.34375	-113.642	0.34375	-113.642	
0.345313	-109.896	0.345313	-109.896	
0.346875	-114.683	0.346875	-114.683	
0.348438	-133.623	0.348438	-133.623	
0.35	-122.592	0.35	-122.592	
0.351562	-111.145	0.351562	-111.145	
0.353125	-114.475	0.353125	-114.475	
0.354688	-102.819	0.354688	-102.819	
0.35625	-110.937	0.35625	-110.937	
0.357813	64.7304	0.357813	64.7304	
0.359375	92.2044	0.359375	92.2044	
0.360938	111.353	0.360938	111.353	
0.3625	99.4891	0.3625	99.4891	
0.364063	123.009	0.364063	123.009	
0.365625	117.805	0.365625	117.805	
0.367187	111.561	0.367187	111.561	
0.36875	120.303	0.36875	120.303	
0.370313	130.293	0.370313	130.293	
0.371875	116.764	0.371875	116.764	
0.373438	125.09	0.373438	125.09	
0.375	133.415	0.375	133.415	
0.376563	140.908	0.376563	140.908	
0.378125	123.425	0.378125	123.425	
0.379688	114.059	0.379688	114.059	
0.38125	135.497	0.38125	135.497	
0.382812	119.678	0.382812	119.678	
0.384375	121.343	0.384375	121.343	
0.385938	105.733	0.385938	105.733	
0.3875	111.145	0.3875	111.145	
0.389063	109.272	0.389063	109.272	
0.390625	124.882	0.390625	124.882	
0.392188	157.559	0.392188	157.559	
0.39375	131.75	0.39375	131.75	
0.395313	120.303	0.395313	120.303	
0.396875	125.298	0.396875	125.298	
0.398437	135.08	0.398437	135.08	
0.4	121.76	0.4	121.76	
0.401563	108.647	0.401563	108.647	
0.403125	117.389	0.403125	117.389	
0.404688	125.506	0.404688	125.506	
0.40625	142.157	0.40625	142.157	
0.407813	124.674	0.407813	124.674	
0.409375	137.994	0.409375	137.994	
0.410938	122.8	0.410938	122.8	
0.4125	128.836	0.4125	128.836	
0.414062	122.176	0.414062	122.176	
0.415625	118.846	0.415625	118.846	
0.417188	149.65	0.417188	149.65	
0.41875	115.724	0.41875	115.724	
0.420313	126.547	0.420313	126.547	
0.421875	136.329	0.421875	136.329	
0.423438	94.702	0.423438	94.702	
0.425	106.566	0.425	106.566	
0.426563	116.973	0.426563	116.973	
0.428125	132.167	0.428125	132.167	
0.429687	132.167	0.429687	132.167	
0.43125	106.774	0.43125	106.774	
0.432813	119.886	0.432813	119.886	
0.434375	132.999	0.434375	132.999	
0.435938	136.746	0.435938	136.746	
0.4375	146.944	0.4375	146.944	
0.439063	116.14	0.439063	116.14	
0.440625	127.171	0.440625	127.171	
0.442188	142.365	0.442188	142.365	
0.44375	135.705	0.44375	135.705	
0.445312	117.805	0.445312	117.805	
0.446875	116.14	0.446875	116.14	
0.448438	126.755	0.448438	126.755	
0.45	126.131	0.45	126.131	
0.451563	118.221	0.451563	118.221	
0.453125	137.994	0.453125	137.994	
0.454688	137.162	0.454688	137.162	
0.45625	123.425	0.45625	123.425	
0.457813	104.901	0.457813	104.901	
0.459375	135.08	0.459375	135.08	
0.460937	121.135	0.460937	121.135	
0.4625	133.207	0.4625	133.207	
0.464063	116.14	0.464063	116.14	
0.465625	133.623	0.465625	133.623	
0.467188	128.212	0.467188	128.212	
0.46875	117.389	0.46875	117.389	
0.470313	117.181	0.470313	117.181	
0.471875	100.114	0.471875	100.114	
0.473438	131.126	0.473438	131.126	
0.475	126.963	0.475	126.963	
0.476562	97.1996	0.476562	97.1996	
0.478125	107.815	0.478125	107.815	
0.479688	123.009	0.479688	123.009	
0.48125	129.669	0.48125	129.669	
0.482813	123.841	0.482813	123.841	
0.484375	130.918	0.484375	130.918	
0.485938	143.198	0.485938	143.198	
0.4875	148.817	0.4875	148.817	
0.489063	121.552	0.489063	121.552	
0.490625	111.769	0.490625	111.769	
0.492187	121.552	0.492187	121.552	
0.49375	124.049	0.49375	124.049	
0.495313	126.963	0.495313	126.963	
0.496875	121.552	0.496875	121.552	
0.498438	123.425	0.498438	123.425	
0.5	121.76	0.5	121.76	
0.501563	123.841	0.501563	123.841	
0.503125	132.375	0.503125	132.375	
0.504688	116.14	0.504688	116.14	
0.50625	102.403	0.50625	102.403	
0.507812	122.592	0.507812	122.592	
0.509375	119.47	0.509375	119.47	
0.510938	108.647	0.510938	108.647	
0.5125	129.461	0.5125	129.461	
0.514062	138.411	0.514062	138.411	
0.515625	117.805	0.515625	117.805	
0.517188	114.475	0.517188	114.475	
0.51875	131.126	0.51875	131.126	
0.520313	135.497	0.520313	135.497	
0.521875	137.994	0.521875	137.994	
0.523437	127.588	0.523437	127.588	
0.525	134.248	0.525	134.248	
0.526563	123.217	0.526563	123.217	
0.528125	115.932	0.528125	115.932	
0.529687	128.212	0.529687	128.212	
0.53125	131.126	0.53125	131.126	
0.532813	124.882	0.532813	124.882	
0.534375	114.267	0.534375	114.267	
0.535938	129.877	0.535938	129.877	
0.5375	140.908	0.5375	140.908	
0.539062	131.75	0.539062	131.75	
0.540625	113.642	0.540625	113.642	
0.542188	133.207	0.542188	133.207	
0.54375	122.592	0.54375	122.592	
0.545312	159.016	0.545312	159.016	
