Time - TTL  0	TTL signal - TTL  0	Time - TTL  1	TTL signal - TTL  1	Time - Plot 2	SUM signal - Plot 2	
0	10	0	4.99802	0	0.150761	
0.0015625	10	0.0015625	4.99741	0.0015625	0.154118	
0.003125	10	0.003125	4.9971	0.003125	0.153508	
0.0046875	10	0.0046875	5.00076	0.0046875	0.153813	
0.00625	10	0.00625	4.99313	0.00625	0.154118	
0.0078125	10	0.0078125	4.98917	0.0078125	0.152593	
0.009375	10	0.009375	5.00626	0.009375	0.151982	
0.0109375	10	0.0109375	4.99496	0.0109375	0.151372	
0.0125	10	0.0125	5.00076	0.0125	0.151677	
0.0140625	10	0.0140625	5.00381	0.0140625	0.150761	
0.015625	10	0.015625	4.99374	0.015625	0.154118	
0.0171875	10	0.0171875	5.00168	0.0171875	0.151982	
0.01875	10	0.01875	5.00565	0.01875	0.150761	
0.0203125	10	0.0203125	4.99741	0.0203125	0.151982	
0.021875	10	0.021875	4.99405	0.021875	0.153508	
0.0234375	10	0.0234375	4.99222	0.0234375	0.154118	
0.025	10	0.025	4.99588	0.025	0.152287	
0.0265625	10	0.0265625	4.9971	0.0265625	0.152593	
0.028125	10	0.028125	5.00443	0.028125	0.156255	
0.0296875	10	0.0296875	4.98672	0.0296875	0.153203	
0.03125	10	0.03125	4.99069	0.03125	0.149541	
0.0328125	10	0.0328125	4.99039	0.0328125	0.154118	
0.034375	10	0.034375	4.98611	0.034375	0.148625	
0.0359375	10	0.0359375	4.98764	0.0359375	0.153203	
0.0375	10	0.0375	4.99741	0.0375	0.154424	
0.0390625	10	0.0390625	5.00137	0.0390625	0.153203	
0.040625	10	0.040625	5.00381	0.040625	0.153203	
0.0421875	10	0.0421875	4.9971	0.0421875	0.154424	
0.04375	10	0.04375	4.99435	0.04375	0.152898	
0.0453125	10	0.0453125	5.00168	0.0453125	0.151982	
0.046875	10	0.046875	4.99405	0.046875	0.153508	
0.0484375	10	0.0484375	5.02304	0.0484375	0.149541	
0.05	10	0.05	4.98856	0.05	0.150456	
0.0515625	10	0.0515625	4.99344	0.0515625	0.149846	
0.053125	10	0.053125	4.98856	0.053125	0.151067	
0.0546875	10	0.0546875	5.00198	0.0546875	0.151982	
0.05625	10	0.05625	4.9971	0.05625	0.149846	
0.0578125	10	0.0578125	4.99863	0.0578125	0.155644	
0.059375	10	0.059375	5.00046	0.059375	0.152898	
0.0609375	10	0.0609375	5.00198	0.0609375	0.152593	
0.0625	10	0.0625	4.98978	0.0625	0.155034	
0.0640625	10	0.0640625	4.99405	0.0640625	0.154118	
0.065625	10	0.065625	4.99771	0.065625	0.151982	
0.0671875	10	0.0671875	4.99405	0.0671875	0.150761	
0.06875	10	0.06875	4.99619	0.06875	0.152287	
0.0703125	10	0.0703125	4.99649	0.0703125	0.149846	
0.071875	10	0.071875	4.99252	0.071875	0.150151	
0.0734375	10	0.0734375	4.99161	0.0734375	0.153508	
0.075	10	0.075	4.99771	0.075	0.152593	
0.0765625	10	0.0765625	4.99649	0.0765625	0.153508	
0.078125	10	0.078125	4.99222	0.078125	0.151067	
0.0796875	10	0.0796875	5.00107	0.0796875	0.153813	
0.08125	10	0.08125	5.00137	0.08125	0.154118	
0.0828125	10	0.0828125	4.99252	0.0828125	0.151067	
0.084375	10	0.084375	4.99893	0.084375	0.152593	
0.0859375	10	0.0859375	4.98795	0.0859375	0.150761	
0.0875	10	0.0875	4.99893	0.0875	0.151372	
0.0890625	10	0.0890625	4.98886	0.0890625	0.151372	
0.090625	10	0.090625	4.99313	0.090625	0.151067	
0.0921875	10	0.0921875	4.99039	0.0921875	0.152287	
0.09375	10	0.09375	4.99161	0.09375	0.150151	
0.0953125	10	0.0953125	4.99527	0.0953125	0.150456	
0.096875	10	0.096875	4.99557	0.096875	0.151067	
0.0984375	10	0.0984375	5.00015	0.0984375	0.153203	
0.1	10	0.1	4.99832	0.1	0.152593	
0.101562	10	0.101562	4.9971	0.101562	0.153508	
0.103125	10	0.103125	4.99985	0.103125	0.149236	
0.104688	10	0.104688	4.99557	0.104688	0.151677	
0.10625	10	0.10625	4.99191	0.10625	0.151982	
0.107813	10	0.107813	4.98795	0.107813	0.150761	
0.109375	10	0.109375	-0.0225837	0.109375	0.152593	
0.110938	10	0.110938	-0.0173956	0.110938	0.154118	
0.1125	10	0.1125	-0.0143437	0.1125	0.148015	
0.114063	10	0.114063	-0.00427259	0.114063	0.14893	
0.115625	10	0.115625	-0.00762963	0.115625	0.151982	
0.117187	10	0.117187	-0.0152593	0.117187	0.151982	
0.11875	10	0.11875	-0.00854518	0.11875	0.151982	
0.120313	10	0.120313	-0.00671407	0.120313	0.151677	
0.121875	10	0.121875	-0.00854518	0.121875	0.152898	
0.123438	10	0.123438	-0.0161748	0.123438	0.150151	
0.125	10	0.125	-0.0231941	0.125	0.150151	
0.126562	10	0.126562	-0.0167852	0.126562	0.150761	
0.128125	10	0.128125	-0.00946074	0.128125	0.151372	
0.129688	10	0.129688	-0.0183111	0.129688	0.152898	
0.13125	10	0.13125	-0.0143437	0.13125	0.148015	
0.132812	10	0.132812	-0.00793481	0.132812	0.152287	
0.134375	10	0.134375	-0.00244148	0.134375	0.152287	
