Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	table - Plot 1	
0	15.1408	0	15.1408	
0.0015625	-1.14994	0.0015625	-1.14994	
0.003125	22.4238	0.003125	22.4238	
0.0046875	29.7067	0.0046875	29.7067	
0.00625	29.8984	0.00625	29.8984	
0.0078125	19.5489	0.0078125	19.5489	
0.009375	12.0743	0.009375	12.0743	
0.0109375	13.7992	0.0109375	13.7992	
0.0125	30.09	0.0125	30.09	
0.0140625	18.974	0.0140625	18.974	
0.015625	20.1239	0.015625	20.1239	
0.0171875	13.0326	0.0171875	13.0326	
0.01875	0.191656	0.01875	0.191656	
0.0203125	12.0743	0.0203125	12.0743	
0.021875	18.5907	0.021875	18.5907	
0.0234375	-5.55803	0.0234375	-5.55803	
0.025	8.62453	0.025	8.62453	
0.0265625	-6.133	0.0265625	-6.133	
0.028125	-20.6989	0.028125	-20.6989	
0.0296875	1.14994	0.0296875	1.14994	
0.03125	0.383312	0.03125	0.383312	
0.0328125	6.89962	0.0328125	6.89962	
0.034375	-8.04956	0.034375	-8.04956	
0.0359375	8.24122	0.0359375	8.24122	
0.0375	2.29987	0.0375	2.29987	
0.0390625	-2.68319	0.0390625	-2.68319	
0.040625	-8.81619	0.040625	-8.81619	
0.0421875	6.70797	0.0421875	6.70797	
0.04375	10.7327	0.04375	10.7327	
0.0453125	26.2569	0.0453125	26.2569	
0.046875	24.3403	0.046875	24.3403	
0.0484375	0.383312	0.0484375	0.383312	
0.05	29.1317	0.05	29.1317	
0.0515625	34.6898	0.0515625	34.6898	
0.053125	14.1826	0.053125	14.1826	
0.0546875	34.8814	0.0546875	34.8814	
0.05625	37.1813	0.05625	37.1813	
0.0578125	18.974	0.0578125	18.974	
0.059375	29.7067	0.059375	29.7067	
0.0609375	42.5477	0.0609375	42.5477	
0.0625	21.2738	0.0625	21.2738	
0.0640625	26.8319	0.0640625	26.8319	
0.065625	-18.7823	0.065625	-18.7823	
0.0671875	11.4994	0.0671875	11.4994	
0.06875	30.665	0.06875	30.665	
0.0703125	23.3821	0.0703125	23.3821	
0.071875	26.0652	0.071875	26.0652	
0.0734375	44.2726	0.0734375	44.2726	
0.075	41.5894	0.075	41.5894	
0.0765625	29.1317	0.0765625	29.1317	
0.078125	12.266	0.078125	12.266	
0.0796875	20.8905	0.0796875	20.8905	
0.08125	22.9987	0.08125	22.9987	
0.0828125	27.7902	0.0828125	27.7902	
0.084375	29.3234	0.084375	29.3234	
0.0859375	21.6572	0.0859375	21.6572	
0.0875	18.974	0.0875	18.974	
0.0890625	23.7654	0.0890625	23.7654	
0.090625	13.0326	0.090625	13.0326	
0.0921875	37.373	0.0921875	37.373	
0.09375	23.3821	0.09375	23.3821	
0.0953125	30.2817	0.0953125	30.2817	
0.096875	24.7237	0.096875	24.7237	
0.0984375	23.7654	0.0984375	23.7654	
0.1	39.4812	0.1	39.4812	
0.101562	35.6481	0.101562	35.6481	
0.103125	52.8971	0.103125	52.8971	
0.104688	12.841	0.104688	12.841	
0.10625	18.974	0.10625	18.974	
0.107813	26.6402	0.107813	26.6402	
0.109375	47.5307	0.109375	47.5307	
0.110938	49.639	0.110938	49.639	
0.1125	52.3222	0.1125	52.3222	
0.114063	20.6989	0.114063	20.6989	
0.115625	34.1148	0.115625	34.1148	
0.117187	36.4147	0.117187	36.4147	
