Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	table - Plot 1	
0	28.9401	0	28.9401	
0.0015625	40.0562	0.0015625	40.0562	
0.003125	45.8058	0.003125	45.8058	
0.0046875	50.7889	0.0046875	50.7889	
0.00625	52.1305	0.00625	52.1305	
0.0078125	47.7224	0.0078125	47.7224	
0.009375	45.4225	0.009375	45.4225	
0.0109375	40.4395	0.0109375	40.4395	
0.0125	56.7302	0.0125	56.7302	
0.0140625	51.1722	0.0140625	51.1722	
0.015625	60.9467	0.015625	60.9467	
0.0171875	31.4316	0.0171875	31.4316	
0.01875	29.5151	0.01875	29.5151	
0.0203125	37.373	0.0203125	37.373	
0.021875	39.4812	0.021875	39.4812	
0.0234375	23.7654	0.0234375	23.7654	
0.025	48.1057	0.025	48.1057	
0.0265625	26.4486	0.0265625	26.4486	
0.028125	28.7484	0.028125	28.7484	
0.0296875	30.09	0.0296875	30.09	
0.03125	53.4721	0.03125	53.4721	
0.0328125	22.8071	0.0328125	22.8071	
0.034375	38.5229	0.034375	38.5229	
0.0359375	40.2478	0.0359375	40.2478	
0.0375	64.2048	0.0375	64.2048	
0.0390625	22.2321	0.0390625	22.2321	
0.040625	35.4564	0.040625	35.4564	
0.0421875	41.0144	0.0421875	41.0144	
0.04375	39.0979	0.04375	39.0979	
0.0453125	32.9649	0.0453125	32.9649	
0.046875	55.0053	0.046875	55.0053	
0.0484375	32.3899	0.0484375	32.3899	
0.05	49.2557	0.05	49.2557	
0.0515625	35.0731	0.0515625	35.0731	
0.053125	28.5568	0.053125	28.5568	
0.0546875	49.2557	0.0546875	49.2557	
0.05625	32.7732	0.05625	32.7732	
0.0578125	45.8058	0.0578125	45.8058	
0.059375	37.1813	0.059375	37.1813	
0.0609375	62.4799	0.0609375	62.4799	
0.0625	45.4225	0.0625	45.4225	
0.0640625	69.7629	0.0640625	69.7629	
0.065625	47.7224	0.065625	47.7224	
0.0671875	82.9872	0.0671875	82.9872	
0.06875	25.8736	0.06875	25.8736	
0.0703125	47.9141	0.0703125	47.9141	
0.071875	47.7224	0.071875	47.7224	
0.0734375	20.3156	0.0734375	20.3156	
0.075	32.5816	0.075	32.5816	
0.0765625	32.9649	0.0765625	32.9649	
0.078125	52.8971	0.078125	52.8971	
0.0796875	48.489	0.0796875	48.489	
0.08125	78.5791	0.08125	78.5791	
0.0828125	53.0888	0.0828125	53.0888	
0.084375	15.3325	0.084375	15.3325	
0.0859375	52.3222	0.0859375	52.3222	
0.0875	32.5816	0.0875	32.5816	
0.0890625	27.2152	0.0890625	27.2152	
0.090625	60.3717	0.090625	60.3717	
0.0921875	50.4056	0.0921875	50.4056	
0.09375	59.9884	0.09375	59.9884	
0.0953125	62.0966	0.0953125	62.0966	
0.096875	57.4969	0.096875	57.4969	
0.0984375	67.6547	0.0984375	67.6547	
0.1	68.2296	0.1	68.2296	
0.101562	61.7133	0.101562	61.7133	
0.103125	61.33	0.103125	61.33	
0.104688	55.0053	0.104688	55.0053	
0.10625	34.3065	0.10625	34.3065	
0.107813	51.9388	0.107813	51.9388	
0.109375	24.7237	0.109375	24.7237	
0.110938	34.8814	0.110938	34.8814	
0.1125	24.7237	0.1125	24.7237	
0.114063	13.7992	0.114063	13.7992	
0.115625	32.7732	0.115625	32.7732	
0.117187	41.5894	0.117187	41.5894	
0.11875	27.5985	0.11875	27.5985	
0.120313	25.2986	0.120313	25.2986	
0.121875	26.8319	0.121875	26.8319	
0.123438	20.1239	0.123438	20.1239	
0.125	42.931	0.125	42.931	
0.126562	22.0405	0.126562	22.0405	
0.128125	36.6063	0.128125	36.6063	
0.129688	50.2139	0.129688	50.2139	
0.13125	49.2557	0.13125	49.2557	
0.132812	29.3234	0.132812	29.3234	
0.134375	25.2986	0.134375	25.2986	
0.135938	54.4304	0.135938	54.4304	
0.1375	18.2073	0.1375	18.2073	
0.139063	52.8971	0.139063	52.8971	
0.140625	39.0979	0.140625	39.0979	
0.142187	67.8463	0.142187	67.8463	
0.14375	63.2466	0.14375	63.2466	
0.145313	40.4395	0.145313	40.4395	
0.146875	42.931	0.146875	42.931	
0.148437	46.1892	0.148437	46.1892	
0.15	43.6976	0.15	43.6976	
0.151563	44.0809	0.151563	44.0809	
0.153125	45.0392	0.153125	45.0392	
0.154688	35.6481	0.154688	35.6481	
0.15625	17.824	0.15625	17.824	
0.157813	45.8058	0.157813	45.8058	
0.159375	62.8632	0.159375	62.8632	
0.160938	30.4733	0.160938	30.4733	
0.1625	36.0314	0.1625	36.0314	
0.164062	51.9388	0.164062	51.9388	
0.165625	64.3965	0.165625	64.3965	
0.167188	50.9806	0.167188	50.9806	
