Time - TTL  0	TTL signal - TTL  0	Time - TTL  1	TTL signal - TTL  1	Time - Plot 2	SUM signal - Plot 2	
0	10	0	0.148625	0	0.176397	
0.0015625	10	0.0015625	0.175787	0.0015625	0.178228	
0.003125	10	0.003125	0.147099	0.003125	0.186773	
0.0046875	10	0.0046875	0.147099	0.0046875	0.183416	
0.00625	10	0.00625	0.143132	0.00625	0.183721	
0.0078125	10	0.0078125	0.121464	0.0078125	0.18952	
0.009375	10	0.009375	0.148015	0.009375	0.185553	
0.0109375	10	0.0109375	0.142216	0.0109375	0.181585	
0.0125	10	0.0125	0.153813	0.0125	0.179449	
0.0140625	10	0.0140625	0.147404	0.0140625	0.182501	
0.015625	10	0.015625	0.149236	0.015625	0.182806	
0.0171875	10	0.0171875	0.151372	0.0171875	0.182806	
0.01875	10	0.01875	0.153508	0.01875	0.18128	
0.0203125	10	0.0203125	0.148625	0.0203125	0.184942	
0.021875	10	0.021875	0.145878	0.021875	0.184942	
0.0234375	10	0.0234375	0.145573	0.0234375	0.187384	
0.025	10	0.025	0.142216	0.025	0.184637	
0.0265625	10	0.0265625	0.142827	0.0265625	0.185247	
0.028125	10	0.028125	0.148625	0.028125	0.184942	
0.0296875	10	0.0296875	0.154424	0.0296875	0.183416	
0.03125	10	0.03125	0.146794	0.03125	0.185247	
0.0328125	10	0.0328125	0.166021	0.0328125	0.178838	
0.034375	10	0.034375	0.149541	0.034375	0.181585	
0.0359375	10	0.0359375	0.147099	0.0359375	0.182806	
0.0375	10	0.0375	0.151067	0.0375	0.178533	
0.0390625	10	0.0390625	0.149846	0.0390625	0.183416	
0.040625	10	0.040625	0.150456	0.040625	0.184332	
0.0421875	10	0.0421875	0.155644	0.0421875	0.18189	
0.04375	10	0.04375	0.138554	0.04375	0.184942	
0.0453125	10	0.0453125	0.14771	0.0453125	0.184637	
0.046875	10	0.046875	0.146184	0.046875	0.184027	
0.0484375	10	0.0484375	0.145878	0.0484375	0.185858	
0.05	10	0.05	0.146489	0.05	0.185247	
0.0515625	10	0.0515625	0.145268	0.0515625	0.183721	
0.053125	10	0.053125	0.147404	0.053125	0.178838	
0.0546875	10	0.0546875	0.154118	0.0546875	0.18067	
0.05625	10	0.05625	0.14771	0.05625	0.183111	
0.0578125	10	0.0578125	0.150151	0.0578125	0.179754	
0.059375	10	0.059375	0.143132	0.059375	0.184332	
0.0609375	10	0.0609375	0.146184	0.0609375	0.18189	
0.0625	10	0.0625	0.135197	0.0625	0.18891	
0.0640625	10	0.0640625	0.144047	0.0640625	0.183416	
0.065625	10	0.065625	0.147404	0.065625	0.183721	
0.0671875	10	0.0671875	0.141911	0.0671875	0.184637	
0.06875	10	0.06875	0.163579	0.06875	0.182501	
0.0703125	10	0.0703125	0.146489	0.0703125	0.183111	
0.071875	10	0.071875	0.14832	0.071875	0.183111	
0.0734375	10	0.0734375	0.153203	0.0734375	0.18128	
0.075	10	0.075	0.153508	0.075	0.180059	
0.0765625	10	0.0765625	0.151982	0.0765625	0.180975	
0.078125	10	0.078125	0.152593	0.078125	0.18128	
0.0796875	10	0.0796875	0.152287	0.0796875	0.18067	
0.08125	10	0.08125	0.146489	0.08125	0.18189	
0.0828125	10	0.0828125	0.143132	0.0828125	0.183111	
0.084375	10	0.084375	0.144353	0.084375	0.186468	
0.0859375	10	0.0859375	0.149846	0.0859375	0.18189	
0.0875	10	0.0875	0.143742	0.0875	0.187384	
0.0890625	10	0.0890625	0.14069	0.0890625	0.186468	
0.090625	10	0.090625	0.151067	0.090625	0.180975	
0.0921875	10	0.0921875	0.154118	0.0921875	0.180975	
0.09375	10	0.09375	0.156255	0.09375	0.180975	
0.0953125	10	0.0953125	0.150456	0.0953125	0.182196	
0.096875	10	0.096875	0.148625	0.096875	0.180059	
0.0984375	10	0.0984375	0.153508	0.0984375	0.178533	
0.1	10	0.1	0.145573	0.1	0.183111	
0.101562	10	0.101562	0.14771	0.101562	0.18189	
0.103125	10	0.103125	0.144658	0.103125	0.185858	
0.104688	10	0.104688	0.144353	0.104688	0.183721	
0.10625	10	0.10625	0.145573	0.10625	0.184332	
0.107813	10	0.107813	0.146184	0.107813	0.185553	
0.109375	10	0.109375	4.9501	0.109375	0.185247	
0.110938	10	0.110938	4.9559	0.110938	0.182806	
