Time - TTL  0	TTL signal - TTL  0	Time - TTL  1	TTL signal - TTL  1	Time - Plot 2	SUM signal - Plot 2	
0	10	0	4.98825	0	0.391858	
0.0015625	10	0.0015625	4.99557	0.0015625	0.394604	
0.003125	10	0.003125	4.96597	0.003125	0.391247	
0.0046875	10	0.0046875	4.98733	0.0046875	0.394299	
0.00625	10	0.00625	4.98733	0.00625	0.392773	
0.0078125	10	0.0078125	4.98581	0.0078125	0.393689	
0.009375	10	0.009375	4.98825	0.009375	0.393384	
0.0109375	10	0.0109375	4.99222	0.0109375	0.39552	
0.0125	10	0.0125	4.99527	0.0125	0.395215	
0.0140625	10	0.0140625	4.99863	0.0140625	0.395215	
0.015625	10	0.015625	4.99283	0.015625	0.395825	
0.0171875	10	0.0171875	4.99161	0.0171875	0.391858	
0.01875	10	0.01875	4.98672	0.01875	0.395825	
0.0203125	10	0.0203125	4.99069	0.0203125	0.393384	
0.021875	10	0.021875	4.98642	0.021875	0.392163	
0.0234375	10	0.0234375	4.98489	0.0234375	0.393384	
0.025	10	0.025	4.98703	0.025	0.391552	
0.0265625	10	0.0265625	4.98856	0.0265625	0.39613	
0.028125	10	0.028125	4.99374	0.028125	0.393994	
0.0296875	10	0.0296875	4.99252	0.0296875	0.391858	
0.03125	10	0.03125	4.99619	0.03125	0.39613	
0.0328125	10	0.0328125	4.99741	0.0328125	0.394604	
0.034375	10	0.034375	4.99161	0.034375	0.396435	
0.0359375	10	0.0359375	4.99008	0.0359375	0.396741	
0.0375	10	0.0375	4.99649	0.0375	0.39491	
0.0390625	10	0.0390625	4.99008	0.0390625	0.39613	
0.040625	10	0.040625	4.9913	0.040625	0.393078	
0.0421875	10	0.0421875	4.98825	0.0421875	0.392773	
0.04375	10	0.04375	4.98337	0.04375	0.397046	
0.0453125	10	0.0453125	4.99649	0.0453125	0.39491	
0.046875	10	0.046875	4.98672	0.046875	0.395215	
0.0484375	10	0.0484375	4.99649	0.0484375	0.394299	
0.05	10	0.05	4.99161	0.05	0.395215	
0.0515625	10	0.0515625	4.99405	0.0515625	0.39552	
0.053125	10	0.053125	4.99588	0.053125	0.393689	
0.0546875	10	0.0546875	4.9971	0.0546875	0.398572	
0.05625	10	0.05625	4.99161	0.05625	0.393384	
0.0578125	10	0.0578125	4.99985	0.0578125	0.392468	
0.059375	10	0.059375	4.99344	0.059375	0.392773	
0.0609375	10	0.0609375	4.9971	0.0609375	0.399487	
0.0625	10	0.0625	4.99069	0.0625	0.393384	
0.0640625	10	0.0640625	4.99985	0.0640625	0.393994	
0.065625	10	0.065625	4.98611	0.065625	0.393078	
0.0671875	10	0.0671875	4.9913	0.0671875	0.390637	
0.06875	10	0.06875	4.99374	0.06875	0.393078	
0.0703125	10	0.0703125	4.99283	0.0703125	0.392468	
0.071875	10	0.071875	4.99496	0.071875	0.393384	
0.0734375	10	0.0734375	4.99741	0.0734375	0.394299	
0.075	10	0.075	4.99832	0.075	0.397656	
0.0765625	10	0.0765625	4.99344	0.0765625	0.392468	
0.078125	10	0.078125	4.98733	0.078125	0.397656	
0.0796875	10	0.0796875	4.99191	0.0796875	0.396741	
0.08125	10	0.08125	4.98764	0.08125	0.39491	
0.0828125	10	0.0828125	4.98856	0.0828125	0.39491	
0.084375	10	0.084375	4.98733	0.084375	0.396435	
0.0859375	10	0.0859375	4.98856	0.0859375	0.392468	
0.0875	10	0.0875	4.99252	0.0875	0.391552	
0.0890625	10	0.0890625	4.99252	0.0890625	0.393689	
0.090625	10	0.090625	4.99344	0.090625	0.397046	
0.0921875	10	0.0921875	4.99496	0.0921875	0.39491	
0.09375	10	0.09375	4.99435	0.09375	0.394299	
0.0953125	10	0.0953125	5.00046	0.0953125	0.395215	
0.096875	10	0.096875	4.99191	0.096875	0.39491	
0.0984375	10	0.0984375	5.01175	0.0984375	0.390942	
0.1	10	0.1	4.99191	0.1	0.393994	
0.101562	10	0.101562	4.98856	0.101562	0.393384	
0.103125	10	0.103125	4.98611	0.103125	0.394299	
0.104688	10	0.104688	4.98672	0.104688	0.390942	
0.10625	10	0.10625	4.98978	0.10625	0.396435	
0.107813	10	0.107813	4.99344	0.107813	0.39552	
0.109375	10	0.109375	4.99191	0.109375	0.396741	
0.110938	10	0.110938	4.99405	0.110938	0.393689	
0.1125	10	0.1125	4.99435	0.1125	0.393689	
0.114063	10	0.114063	4.99557	0.114063	0.393384	
0.115625	10	0.115625	4.99649	0.115625	0.393994	
0.117187	10	0.117187	4.98733	0.117187	0.397046	
0.11875	10	0.11875	4.991	0.11875	0.39552	
0.120313	10	0.120313	4.98703	0.120313	0.393689	
0.121875	10	0.121875	4.98245	0.121875	0.391552	
0.123438	10	0.123438	4.98581	0.123438	0.391858	
0.125	10	0.125	4.98825	0.125	0.391552	
0.126562	10	0.126562	4.99008	0.126562	0.392773	
0.128125	10	0.128125	4.97787	0.128125	0.391858	
0.129688	10	0.129688	4.98672	0.129688	0.392468	
0.13125	10	0.13125	4.98947	0.13125	0.39491	
0.132812	10	0.132812	4.99161	0.132812	0.391552	
0.134375	10	0.134375	4.9971	0.134375	0.397656	
0.135938	10	0.135938	4.99161	0.135938	0.395825	
0.1375	10	0.1375	4.99069	0.1375	0.393689	
0.139063	10	0.139063	4.99161	0.139063	0.388195	
0.140625	10	0.140625	4.98947	0.140625	0.393384	
0.142187	10	0.142187	4.99008	0.142187	0.397656	
0.14375	10	0.14375	4.99771	0.14375	0.395825	
0.145313	10	0.145313	4.98672	0.145313	0.390332	
0.146875	10	0.146875	4.99985	0.146875	0.39491	
0.148437	10	0.148437	4.99222	0.148437	0.392468	
0.15	10	0.15	4.99161	0.15	0.394604	
0.151563	10	0.151563	4.991	0.151563	0.392773	
0.153125	10	0.153125	4.99832	0.153125	0.392468	
0.154688	10	0.154688	4.99344	0.154688	0.394299	
0.15625	10	0.15625	4.99466	0.15625	0.390637	
0.157813	10	0.157813	4.9855	0.157813	0.39491	
0.159375	10	0.159375	4.9968	0.159375	0.393078	
0.160938	10	0.160938	4.99008	0.160938	0.393384	
0.1625	10	0.1625	4.98642	0.1625	0.395215	
0.164062	10	0.164062	4.98978	0.164062	0.391858	
0.165625	10	0.165625	4.99191	0.165625	0.392773	
0.167188	10	0.167188	4.98978	0.167188	0.393078	
0.16875	10	0.16875	4.99771	0.16875	0.392163	
0.170313	10	0.170313	4.99863	0.170313	0.393994	
0.171875	10	0.171875	4.99527	0.171875	0.391247	
0.173438	10	0.173438	4.99924	0.173438	0.391858	
0.175	10	0.175	4.99191	0.175	0.393994	
0.176563	10	0.176563	4.99283	0.176563	0.392773	
0.178125	10	0.178125	4.98856	0.178125	0.391858	
0.179687	10	0.179687	4.99649	0.179687	0.393689	
0.18125	10	0.18125	4.98672	0.18125	0.393078	
0.182813	10	0.182813	4.98825	0.182813	0.393078	
0.184375	10	0.184375	4.98459	0.184375	0.392163	
0.185938	10	0.185938	4.991	0.185938	0.394604	
0.1875	10	0.1875	4.99405	0.1875	0.394604	
0.189063	10	0.189063	4.98856	0.189063	0.393078	
0.190625	10	0.190625	4.99283	0.190625	0.393384	
0.192188	10	0.192188	4.99619	0.192188	0.396435	
0.19375	10	0.19375	4.99863	0.19375	0.39491	
0.195312	10	0.195312	4.99527	0.195312	0.395215	
0.196875	10	0.196875	5.00687	0.196875	0.392773	
0.198438	10	0.198438	4.98733	0.198438	0.392468	
0.2	10	0.2	4.98703	0.2	0.39552	
0.201563	10	0.201563	4.98886	0.201563	0.393689	
0.203125	10	0.203125	4.98703	0.203125	0.396435	
0.204688	10	0.204688	4.99069	0.204688	0.393994	
0.20625	10	0.20625	4.97757	0.20625	0.393384	
0.207813	10	0.207813	4.9852	0.207813	0.391858	
0.209375	10	0.209375	4.99222	0.209375	0.393689	
0.210937	10	0.210937	4.99161	0.210937	0.393078	
0.2125	10	0.2125	4.99527	0.2125	0.394604	
0.214063	10	0.214063	4.9971	0.214063	0.392163	
0.215625	10	0.215625	4.98367	0.215625	0.392773	
0.217188	10	0.217188	4.98459	0.217188	0.394604	
0.21875	10	0.21875	4.99832	0.21875	0.393384	
0.220313	10	0.220313	4.98245	0.220313	0.397656	
0.221875	10	0.221875	-0.0134281	0.221875	0.393994	
0.223438	10	0.223438	-0.0177007	0.223438	0.393689	
0.225	10	0.225	-0.0195318	0.225	0.390332	
0.226562	10	0.226562	-0.00549333	0.226562	0.395825	
0.228125	10	0.228125	-0.00701926	0.228125	0.394604	
0.229688	10	0.229688	-0.0134281	0.229688	0.39491	
0.23125	10	0.23125	-0.0119022	0.23125	0.393384	
0.232813	10	0.232813	-0.000305185	0.232813	0.391247	
0.234375	10	0.234375	-0.0183111	0.234375	0.39491	
