Time - TTL  0	TTL signal - TTL  0	Time - TTL  1	TTL signal - TTL  1	Time - Plot 2	SUM signal - Plot 2	
0	10	0	0.146794	0	0.419324	
0.0015625	10	0.0015625	0.147099	0.0015625	0.418104	
0.003125	10	0.003125	0.124516	0.003125	0.422376	
0.0046875	10	0.0046875	0.14832	0.0046875	0.42085	
0.00625	10	0.00625	0.147099	0.00625	0.418104	
0.0078125	10	0.0078125	0.153203	0.0078125	0.419324	
0.009375	10	0.009375	0.143437	0.009375	0.417493	
0.0109375	10	0.0109375	0.146489	0.0109375	0.422376	
0.0125	10	0.0125	0.144047	0.0125	0.416578	
0.0140625	10	0.0140625	0.144353	0.0140625	0.421155	
0.015625	10	0.015625	0.149846	0.015625	0.423292	
0.0171875	10	0.0171875	0.142521	0.0171875	0.423902	
0.01875	10	0.01875	0.147099	0.01875	0.42024	
0.0203125	10	0.0203125	0.141606	0.0203125	0.418104	
0.021875	10	0.021875	0.144658	0.021875	0.417493	
0.0234375	10	0.0234375	0.136723	0.0234375	0.424512	
0.025	10	0.025	0.152593	0.025	0.419935	
0.0265625	10	0.0265625	0.151067	0.0265625	0.42085	
0.028125	10	0.028125	0.14832	0.028125	0.422071	
0.0296875	10	0.0296875	0.163274	0.0296875	0.418409	
0.03125	10	0.03125	0.136418	0.03125	0.419935	
0.0328125	10	0.0328125	0.143132	0.0328125	0.422376	
0.034375	10	0.034375	0.146184	0.034375	0.422376	
0.0359375	10	0.0359375	0.13184	0.0359375	0.423902	
0.0375	10	0.0375	0.148625	0.0375	0.415967	
0.0390625	10	0.0390625	0.143742	0.0390625	0.418714	
0.040625	10	0.040625	0.147404	0.040625	0.416272	
0.0421875	10	0.0421875	0.145268	0.0421875	0.422987	
0.04375	10	0.04375	0.157476	0.04375	0.422987	
0.0453125	10	0.0453125	0.153813	0.0453125	0.420545	
0.046875	10	0.046875	0.14893	0.046875	0.419019	
0.0484375	10	0.0484375	0.142521	0.0484375	0.417493	
0.05	10	0.05	0.146184	0.05	0.41963	
0.0515625	10	0.0515625	0.149236	0.0515625	0.418409	
0.053125	10	0.053125	0.153508	0.053125	0.42024	
0.0546875	10	0.0546875	0.145573	0.0546875	0.424207	
0.05625	10	0.05625	0.154729	0.05625	0.414747	
0.0578125	10	0.0578125	0.14832	0.0578125	0.41963	
0.059375	10	0.059375	0.144047	0.059375	0.420545	
0.0609375	10	0.0609375	0.149846	0.0609375	0.414441	
0.0625	10	0.0625	0.145268	0.0625	0.41963	
0.0640625	10	0.0640625	0.146184	0.0640625	0.416578	
0.065625	10	0.065625	0.151677	0.065625	0.41963	
0.0671875	10	0.0671875	0.147404	0.0671875	0.418409	
0.06875	10	0.06875	0.150761	0.06875	0.418104	
0.0703125	10	0.0703125	0.149846	0.0703125	0.419324	
0.071875	10	0.071875	0.144963	0.071875	0.42024	
0.0734375	10	0.0734375	0.147404	0.0734375	0.417493	
0.075	10	0.075	0.143437	0.075	0.421461	
0.0765625	10	0.0765625	0.13947	0.0765625	0.418714	
0.078125	10	0.078125	0.148625	0.078125	0.423292	
0.0796875	10	0.0796875	0.14832	0.0796875	0.421766	
0.08125	10	0.08125	0.147404	0.08125	0.417798	
0.0828125	10	0.0828125	0.140996	0.0828125	0.418409	
0.084375	10	0.084375	0.147404	0.084375	0.422071	
0.0859375	10	0.0859375	0.149236	0.0859375	0.424207	
0.0875	10	0.0875	0.145878	0.0875	0.421461	
0.0890625	10	0.0890625	0.149846	0.0890625	0.414441	
0.090625	10	0.090625	0.151067	0.090625	0.420545	
0.0921875	10	0.0921875	0.144047	0.0921875	0.417188	
0.09375	10	0.09375	0.142827	0.09375	0.417798	
0.0953125	10	0.0953125	0.144047	0.0953125	0.415357	
0.096875	10	0.096875	0.140996	0.096875	0.419019	
0.0984375	10	0.0984375	0.145878	0.0984375	0.423292	
0.1	10	0.1	0.14832	0.1	0.416883	
0.101562	10	0.101562	0.144963	0.101562	0.417798	
0.103125	10	0.103125	0.148015	0.103125	0.415662	
0.104688	10	0.104688	0.146489	0.104688	0.418714	
0.10625	10	0.10625	0.146489	0.10625	0.423597	
0.107813	10	0.107813	0.144963	0.107813	0.426344	
0.109375	10	0.109375	0.14893	0.109375	0.422376	
0.110938	10	0.110938	0.154424	0.110938	0.421461	
0.1125	10	0.1125	0.145573	0.1125	0.419324	
0.114063	10	0.114063	0.152287	0.114063	0.422987	
0.115625	10	0.115625	0.144658	0.115625	0.422071	
0.117187	10	0.117187	0.149236	0.117187	0.425123	
0.11875	10	0.11875	0.153813	0.11875	0.421766	
0.120313	10	0.120313	0.154424	0.120313	0.418409	
0.121875	10	0.121875	0.148015	0.121875	0.415357	
0.123438	10	0.123438	0.14893	0.123438	0.426649	
0.125	10	0.125	0.144658	0.125	0.424207	
0.126562	10	0.126562	0.150456	0.126562	0.419324	
0.128125	10	0.128125	0.163579	0.128125	0.419324	
0.129688	10	0.129688	0.146794	0.129688	0.418714	
0.13125	10	0.13125	0.140996	0.13125	0.422681	
0.132812	10	0.132812	0.149236	0.132812	0.421766	
0.134375	10	0.134375	0.156865	0.134375	0.419019	
0.135938	10	0.135938	0.14008	0.135938	0.416272	
0.1375	10	0.1375	0.143742	0.1375	0.41963	
0.139063	10	0.139063	0.144658	0.139063	0.419019	
0.140625	10	0.140625	0.147099	0.140625	0.421461	
0.142187	10	0.142187	0.145268	0.142187	0.41963	
0.14375	10	0.14375	0.151067	0.14375	0.418409	
