Freq / Hz,Sensitivity / mV,Time constant / ms,Amplitude / % sen,Error amplitude,Amplitude / nm,Phase / degrees,Error phase,,,,Freq / Hz,Sensitivity / mV,Time constant / ms,Amplitude / % sen,Error amplitude,Amplitude / nm,Phase / degrees,Error phase
1,1000,2000,35.69,0.32,49.966,-0.78,0.09,,,,1.001,1000,2000,30.08,0.12,41.8112,179.39,0.11
2,1000,2000,36.57,0.06,51.198,-10.59,0.23,,,,2.004,1000,2000,31.56,0.29,43.8684,169.79,0.28
3,1000,2000,36.07,0.18,50.498,-13.77,0.24,,,,2.998,500,2000,63.09,0.75,43.84755,166.16,0.17
5,1000,2000,36.88,0.14,51.632,-17.45,0.12,,,,5.08,500,2000,59.4,0.18,41.283,163.3,0.29
10,1000,2000,37.04,0.1,51.856,-19.97,0.21,,,,10.04,500,2000,61.8,0.48,42.951,158.13,0.23
20,500,200,72.09,1.29,50.463,-25.19,1.17,,,,20.02,500,2000,54.91,0.38,38.16245,151.42,0.45
30,500,200,68.7,1.77,48.09,-28.45,1.03,,,,29.99,500,200,56.86,1.25,39.5177,148.17,2.26
49.94,500,200,67.63,1.31,47.341,-36.28,1.28,,,,50.04,500,200,52.22,1.12,36.2929,142.05,0.8
100.1,500,200,63.6,1.4,44.52,-49.15,0.83,,,,100.2,500,200,51.18,1.62,35.5701,130.72,1.54
200,500,50,49.77,2.31,34.839,-67.94,2.63,,,,200.5,500,200,37.66,1.06,26.1737,111.66,1.4
300.1,500,50,39.89,1.48,27.923,-79.27,2.28,,,,300.7,500,50,27.25,1.41,18.93875,103.61,3.29
350,500,50,36.99,1.58,25.893,-84.47,2.12,,,,350.9,500,50,24.14,1.82,16.7773,98.28,4.3
401.2,500,10,32.98,2.71,23.086,-87,5.06,,,,400.5,500,10,21.48,3.1,14.9286,96.55,8.29
500,200,10,70.6,6.55,19.768,-93.9,5.83,,,,499,200,10,47.32,6.7,13.15496,91.19,9.66
600.1,200,10,61.48,6.39,17.2144,-99,6.38,,,,601.1,200,10,39.89,6.87,11.08942,85.69,10.19
799.1,200,10,47.79,4.51,13.3812,-105.01,4.99,,,,803.4,200,10,28.41,4.01,7.89798,78.43,8.21
1000,200,10,37.6,3.55,10.528,-109.44,5.27,,,,1008,200,10,22.47,3.66,6.24666,71.6,9.49
1258,200,10,29.83,2.89,8.3524,-112.37,5.33,,,,1254,200,10,16.66,2.74,4.63148,68.3,8.92
1501,200,5,24.82,3.24,6.9496,-117.18,7.69,,,,1505,200,5,15.6,3.17,4.3368,64.16,12.59
1753,100,5,42.02,7.14,5.8828,-120.83,10.66,,,,1753,100,5,27.02,6.67,3.75578,60.84,14.92
1994,50,5,70.8,10.3,4.956,-124.04,7.89,,,,2010,100,5,21.18,4.74,2.94402,56.82,13.02
2504,50,5,53.91,7.55,3.7737,-128.55,8.16,,,,2502,100,5,17.56,4.05,2.44084,52.11,13.74
3004,50,5,43.83,6.76,3.0681,-135.6,9.19,,,,3008,100,5,13.03,3.45,1.81117,46.49,14.58
3496,50,5,34.71,5.66,2.4297,-139.06,9.1,,,,3493,100,5,11.14,2.8,1.54846,41.03,15.59
3981,50,5,29.76,5.03,2.0832,-143.48,9.87,,,,4000,100,5,8.67,2.36,1.20513,37.74,17.19
4508,50,5,25.49,4.46,1.7843,-147.53,10.31,,,,4516,100,5,7.8,2.18,1.0842,36.6,17.87
4989,50,5,21.97,4.28,1.5379,-152.25,11.8,,,,5015,100,5,6.92,1.98,0.96188,30.43,19.66
5489,20,5,46.51,9.44,1.30228,-156.23,12.86,,,,5507,100,5,5.91,1.87,0.82149,25.22,22.71
5988,20,5,39.19,8.65,1.09732,-159.85,15.64,,,,6008,100,5,4.45,1.63,0.61855,22.92,25.5
6502,20,5,34.05,8.4,0.9534,-164.28,18.08,,,,6512,100,5,4.11,1.55,0.57129,17.17,30.43
6993,20,5,29.04,7.83,0.81312,-168.44,19.9,,,,7037,100,5,3.52,1.4,0.48928,15.6,32.58
