Rough freq / Hz,Freq / Hz,Amplitude / nm,error / nm,Phase / degrees,error,Freq / Hz,Amplitude / nm,error / nm,Phase / degrees,error,Phase difference
1,1.002,96.35885529,1.153998267,-3.2,1.1,1.005,125.2143016,,179.6046158,,177.1953842
2,2.001,113.0918302,0.43274935,-16,0.4,1.999,132.7804438,,168.6241147,,175.3758853
5,5,115.1113271,1.442497834,-26.1,0.5,5,130.0207896,,156.2886002,,177.6113998
10,10,102.4173462,2.307996534,-39.6,2.2,10.03,125.6425505,,148.7257726,,171.6742274
20,20,84.38612327,2.596496101,-46.9,1.6,20.03,120.0716648,,141.9628237,,171.1371763
50,50.07,76.3081354,3.173495234,-49.3,1.3,50.02,100.4550588,,133.2908797,,177.4091203
75,75.02,74.43288821,1.875247184,-52.4,1.6,74.89,83.23159874,,127.9933088,,179.6066912
100,100.9,67.6531484,3.317745017,-55.7,2.3,100.7,78.44740418,,124.8507974,,179.4492026
150,150.2,73.85588908,4.615993068,-60.4,3.2,150,58.22752271,,119.9710955,,179.6289045
200,200.4,60.29640945,5.192992201,-64.3,3.5,199.7,53.03454143,,116.0551177,,179.6448823
300,303.6,49.33342591,3.736069389,-73.9,3.2,300.7,35.62353703,,114.2814495,,171.8185505
400,403.2,47.16967916,3.894744151,-85.1,5.3,400.4,39.50793456,,102.1640297,,172.7359703
600,601.3,71.9806419,6.058490901,-100.3,4.9,600.7,31.65998546,,89.48644476,,170.2135552
800,800.5,26.39771036,2.235871642,-104.8,4.8,800.7,24.92166664,,81.74925554,,173.4507445
1000,1009,21.7095924,1.875247184,-115.7,4.7,1005,20.85794059,,72.62548837,,171.6745116
2000,2000,9.376235919,0.980898527,-141.1,6,2009,9.075692679,,46.68648613,,172.2135139
3000,3012,19.41602084,2.019496967,-123,3.2,3009,20.92061411,,65.6964099,,171.3035901
4000,4039,15.34817695,0.980898527,-130.4,3.5,3996,15.7810146,,57.44478055,,172.1552194
5000,5000,11.97273202,0.95204857,-138,3.6,5014,12.00671709,,51.14050773,,170.8594923
7500,7535,7.299039038,0.60584909,-154,4.2,7553,7.409399556,,34.93345605,,171.066544
10000,10020,4.464530795,0.461599307,-168.5,6.1,10060,4.686432792,,18.55587919,,172.9441208
20000,20050,1.723784911,0.25964961,168.8,9,20040,1.955739654,,-4.018276008,,172.818276
30000,30150,1.182848224,0.158674762,153.6,7.5,30080,1.317198645,,-17.59806222,,171.1980622
40000,40220,0.859728709,0.132709801,133.4,8.3,40080,0.968921689,,-33.46232627,,166.8623263
50000,50000,0.630371553,0.103859844,117.7,10.1,50030,0.709605513,,-49.18643558,,166.8864356
60000,60060,0.493334259,0.093762359,102.3,11.6,60200,0.537745941,,-64.41035098,,166.710351
70000,70020,0.431306852,0.121169818,88.8,19.1,70050,0.50213183,,-76.59059526,,165.3905953
80000,79980,0.44645308,0.140643539,65.8,22.5,80470,0.493195289,,-96.05263223,,161.8526322
90000,90120,0.415439376,0.119006071,40.1,19.3,90070,0.436057851,,-126.0116777,,166.1116777
100000,100800,0.323119515,0.099532351,-2.1,20.9,100500,0.335356715,,-164.3180199,,162.2180199
110000,110400,0.510644233,0.082222377,-13.7,10.1,110400,0.460073257,,-177.0851068,,163.3851068
120000,120500,0.354133218,0.064191154,-32.2,11.3,120500,0.32081936,,169.2356033,,158.5643967
130000,130000,0.271189593,0.04688118,-46.8,10.6,129700,0.242724936,,152.1544793,,161.0455207
140000,140000,0.205555941,0.036062446,-67,10.3,140100,0.184990877,,135.5864491,,157.4135509
150000,149900,0.163723504,0.030292455,-83.3,10.3,150200,0.140494291,,117.6214675,,159.0785325
160000,160000,0.11972732,0.023801214,-107,12.7,160100,0.101845413,,97.81936205,,155.180638
170000,170200,0.08654987,0.022358716,-123.4,16.6,170100,0.067778811,,85.65200151,,150.9479985
180000,180200,0.061161908,0.022502966,-135.9,29.8,180100,0.047364118,,66.21756847,,157.8824315
190000,190200,0.04644843,0.019617971,-135,38,190400,0.034967284,,63.15253704,,161.847463
200000,200400,0.05308392,0.01990647,-139.5,31.4,200600,0.040444246,,65.60630526,,154.8936947
210000,210600,0.045294432,0.02019497,-139.3,41.7,210100,0.036116283,,71.20480914,,149.4951909
220000,220100,0.044140434,0.019617971,-148.7,45.2,220000,0.034454855,,61.15504936,,150.1449506
240000,240400,0.042120937,0.020483469,-176.3,56,240900,0.034597276,,29.68555,,154.01445
260000,260300,0.044140434,0.023079965,176.5,102,260400,0.040577678,,175.006902,,1.493097999
280000,280600,0.131555802,0.067220399,184,105.1,280700,0.112718471,,153.8493981,,30.15060187
300000,300400,0.168195247,0.077317884,175.4,101.4,300800,0.157265139,,9.199555335,,166.2004447
350000,351200,0.12001582,0.063758404,-173,105.9,350000,0.267743137,,1.631908257,,174.6319083
400000,407200,0.016155976,0.008943487,-179,104,400800,0.099068041,,99.79013861,,81.20986139
