Rough freq / Hz,Freq / Hz,Amplitude / nm,error / nm,Phase / degrees,error,Freq / Hz,Amplitude / nm,error / nm,Phase / degrees,error,Phase difference
1,1,49.966,0.448,-0.78,,1.001,41.8112,0.1668,179.39,,179.83
2,2,51.198,0.084,-10.59,,2.004,43.8684,0.4031,169.79,,179.62
3,3,50.498,0.252,-13.77,,2.998,43.84755,1.0425,166.16,,179.93
5,5,51.632,0.196,-17.45,,5.08,41.283,0.2502,163.3,,179.25
10,10,51.856,0.14,-19.97,,10.04,42.951,0.6672,158.13,,178.1
20,20,50.463,0.903,-25.19,,20.02,38.16245,0.2641,151.42,,176.61
30,30,48.09,1.239,-28.45,,29.99,39.5177,0.86875,148.17,,176.62
50,49.94,47.341,0.917,-36.28,,50.04,36.2929,0.7784,142.05,,178.33
100,100.1,44.52,0.98,-49.15,,100.2,35.5701,1.1259,130.72,,179.87
200,200,34.839,1.617,-67.94,,200.5,26.1737,0.7367,111.66,,179.6
300,300.1,27.923,1.036,-79.27,,300.7,18.93875,0.97995,103.61,,177.12
350,350,25.893,1.106,-84.47,,350.9,16.7773,1.2649,98.28,,177.25
400,401.2,23.086,1.897,-87,,400.5,14.9286,2.1545,96.55,,176.45
500,500,19.768,1.834,-93.9,,499,13.15496,1.8626,91.19,,174.91
600,600.1,17.2144,1.7892,-99,,601.1,11.08942,1.90986,85.69,,175.31
800,799.1,13.3812,1.2628,-105.01,,803.4,7.89798,1.11478,78.43,,176.56
1000,1000,10.528,0.994,-109.44,,1008,6.24666,1.01748,71.6,,178.96
1250,1258,8.3524,0.8092,-112.37,,1254,4.63148,0.76172,68.3,,179.33
1500,1501,6.9496,0.9072,-117.18,,1505,4.3368,0.88126,64.16,,178.66
1750,1753,5.8828,0.9996,-120.83,,1753,3.75578,0.92713,60.84,,178.33
2000,1994,4.956,0.721,-124.04,,2010,2.94402,0.32943,56.82,,179.14
2500,2504,3.7737,0.5285,-128.55,,2502,2.44084,0.281475,52.11,,179.34
3000,3004,3.0681,0.4732,-135.6,,3008,1.81117,0.239775,46.49,,177.91
3500,3496,2.4297,0.3962,-139.06,,3493,1.54846,0.1946,41.03,,179.91
4000,3981,2.0832,0.3521,-143.48,,4000,1.20513,0.16402,37.74,,178.78
4500,4508,1.7843,0.3122,-147.53,,4516,1.0842,0.15151,36.6,,175.87
5000,4989,1.5379,0.2996,-152.25,,5015,0.96188,0.13761,30.43,,177.32
5500,5489,1.30228,0.26432,-156.23,,5507,0.82149,0.051986,25.22,,178.55
6000,5988,1.09732,0.2422,-159.85,,6008,0.61855,0.045314,22.92,,177.23
6500,6502,0.9534,0.2352,-164.28,,6512,0.57129,0.04309,17.17,,178.55
7000,6993,0.81312,0.21924,-168.44,,7037,0.48928,0.03892,15.6,,175.96
7500,7535,7.299039038,0.60584909,-154,4.2,7553,7.409399556,0.544056904,34.93345605,,171.066544
10000,10020,4.464530795,0.461599307,-168.5,6.1,10060,4.686432792,0.475221596,18.55587919,,172.9441208
20000,20050,1.723784911,0.25964961,168.8,9,20040,1.955739654,0.226057355,-4.018276008,,172.818276
30000,30150,1.182848224,0.158674762,153.6,7.5,30080,1.317198645,0.145150459,-17.59806222,,171.1980622
40000,40220,0.859728709,0.132709801,133.4,8.3,40080,0.968921689,0.120415292,-33.46232627,,166.8623263
