Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	table - Plot 1	
0	22.4787	0	22.4787	
0.0015625	23.7275	0.0015625	23.7275	
0.003125	41.8354	0.003125	41.8354	
0.0046875	19.9811	0.0046875	19.9811	
0.00625	27.6821	0.00625	27.6821	
0.0078125	39.5459	0.0078125	39.5459	
0.009375	34.5506	0.009375	34.5506	
0.0109375	58.2781	0.0109375	58.2781	
0.0125	42.6679	0.0125	42.6679	
0.0140625	26.8496	0.0140625	26.8496	
0.015625	29.7635	0.015625	29.7635	
0.0171875	25.3926	0.0171875	25.3926	
0.01875	12.9044	0.01875	12.9044	
0.0203125	20.8136	0.0203125	20.8136	
0.021875	66.6036	0.021875	66.6036	
0.0234375	24.9763	0.0234375	24.9763	
0.025	26.4333	0.025	26.4333	
0.0265625	33.5099	0.0265625	33.5099	
0.028125	19.3567	0.028125	19.3567	
0.0296875	33.9262	0.0296875	33.9262	
0.03125	40.7947	0.03125	40.7947	
0.0328125	26.6414	0.0328125	26.6414	
0.034375	19.9811	0.034375	19.9811	
0.0359375	18.7323	0.0359375	18.7323	
0.0375	31.6367	0.0375	31.6367	
0.0390625	24.3519	0.0390625	24.3519	
0.040625	36.4238	0.040625	36.4238	
0.0421875	29.5553	0.0421875	29.5553	
0.04375	35.7994	0.04375	35.7994	
0.0453125	26.4333	0.0453125	26.4333	
0.046875	50.5771	0.046875	50.5771	
0.0484375	32.2611	0.0484375	32.2611	
0.05	37.2564	0.05	37.2564	
0.0515625	32.053	0.0515625	32.053	
0.053125	42.6679	0.053125	42.6679	
0.0546875	16.859	0.0546875	16.859	
0.05625	22.6868	0.05625	22.6868	
0.0578125	39.1296	0.0578125	39.1296	
0.059375	6.8685	0.059375	6.8685	
0.0609375	49.5364	0.0609375	49.5364	
0.0625	37.0482	0.0625	37.0482	
0.0640625	43.0842	0.0640625	43.0842	
0.065625	50.5771	0.065625	50.5771	
0.0671875	24.3519	0.0671875	24.3519	
0.06875	38.2971	0.06875	38.2971	
0.0703125	43.2923	0.0703125	43.2923	
0.071875	16.4428	0.071875	16.4428	
0.0734375	19.1485	0.0734375	19.1485	
0.075	34.5506	0.075	34.5506	
0.0765625	27.474	0.0765625	27.474	
0.078125	34.9669	0.078125	34.9669	
0.0796875	30.596	0.0796875	30.596	
0.08125	35.7994	0.08125	35.7994	
0.0828125	25.3926	0.0828125	25.3926	
0.084375	16.2346	0.084375	16.2346	
0.0859375	1.66509	0.0859375	1.66509	
0.0875	5.82781	0.0875	5.82781	
0.0890625	15.4021	0.0890625	15.4021	
0.090625	5.61968	0.090625	5.61968	
0.0921875	1.87323	0.0921875	1.87323	
0.09375	4.99527	0.09375	4.99527	
0.0953125	20.3974	0.0953125	20.3974	
0.096875	14.5695	0.096875	14.5695	
0.0984375	-1.87323	0.0984375	-1.87323	
0.1	-20.1892	0.1	-20.1892	
0.101562	-4.37086	0.101562	-4.37086	
0.103125	-22.2706	0.103125	-22.2706	
0.104688	7.28477	0.104688	7.28477	
0.10625	16.4428	0.10625	16.4428	
0.107813	-30.8042	0.107813	-30.8042	
0.109375	2.70577	0.109375	2.70577	
0.110938	-14.9858	0.110938	-14.9858	
0.1125	-1.45695	0.1125	-1.45695	
0.114063	-6.03595	0.114063	-6.03595	
0.115625	17.8997	0.115625	17.8997	
0.117187	-13.737	0.117187	-13.737	
0.11875	-32.2611	0.11875	-32.2611	
0.120313	-0.832545	0.120313	-0.832545	
0.121875	24.5601	0.121875	24.5601	
0.123438	-15.6102	0.123438	-15.6102	
0.125	10.4068	0.125	10.4068	
0.126562	-22.6868	0.126562	-22.6868	
0.128125	-1.66509	0.128125	-1.66509	
0.129688	22.895	0.129688	22.895	
0.13125	-1.45695	0.13125	-1.45695	
0.132812	1.04068	0.132812	1.04068	
0.134375	10.8231	0.134375	10.8231	
0.135938	1.24882	0.135938	1.24882	
0.1375	41.211	0.1375	41.211	
0.139063	-12.9044	0.139063	-12.9044	
0.140625	20.1892	0.140625	20.1892	
0.142187	3.95459	0.142187	3.95459	
0.14375	28.3065	0.14375	28.3065	
0.145313	7.07663	0.145313	7.07663	
0.146875	21.8543	0.146875	21.8543	
0.148437	25.3926	0.148437	25.3926	
0.15	4.78713	0.15	4.78713	
0.151563	-11.6556	0.151563	-11.6556	
0.153125	18.1079	0.153125	18.1079	
0.154688	2.70577	0.154688	2.70577	
0.15625	6.03595	0.15625	6.03595	
0.157813	-12.6963	0.157813	-12.6963	
0.159375	25.3926	0.159375	25.3926	
0.160938	4.579	0.160938	4.579	
0.1625	22.4787	0.1625	22.4787	
0.164062	25.1845	0.164062	25.1845	
0.165625	-14.5695	0.165625	-14.5695	
0.167188	14.3614	0.167188	14.3614	
0.16875	5.61968	0.16875	5.61968	
0.170313	10.4068	0.170313	10.4068	
0.171875	24.5601	0.171875	24.5601	
0.173438	3.95459	0.173438	3.95459	
0.175	10.6149	0.175	10.6149	
0.176563	-9.57427	0.176563	-9.57427	
0.178125	11.6556	0.178125	11.6556	
0.179687	10.8231	0.179687	10.8231	
0.18125	34.7588	0.18125	34.7588	
0.182813	20.3974	0.182813	20.3974	
0.184375	0	0.184375	0	
0.185938	5.61968	0.185938	5.61968	
0.1875	11.2394	0.1875	11.2394	
0.189063	14.3614	0.189063	14.3614	
0.190625	47.2469	0.190625	47.2469	
0.192188	21.438	0.192188	21.438	
0.19375	21.8543	0.19375	21.8543	
0.195312	2.49763	0.195312	2.49763	
0.196875	22.895	0.196875	22.895	
0.198438	35.175	0.198438	35.175	
0.2	29.1391	0.2	29.1391	
0.201563	24.1438	0.201563	24.1438	
0.203125	34.1343	0.203125	34.1343	
0.204688	34.5506	0.204688	34.5506	
0.20625	46.6225	0.20625	46.6225	
0.207813	6.45222	0.207813	6.45222	
0.209375	9.36613	0.209375	9.36613	
