Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	table - Plot 1	
0	-131.093	0	-131.093	
0.0015625	-148.15	0.0015625	-148.15	
0.003125	-130.135	0.003125	-130.135	
0.0046875	-147.575	0.0046875	-147.575	
0.00625	-135.501	0.00625	-135.501	
0.0078125	-135.884	0.0078125	-135.884	
0.009375	-124.96	0.009375	-124.96	
0.0109375	-125.152	0.0109375	-125.152	
0.0125	-107.519	0.0125	-107.519	
0.0140625	-118.827	0.0140625	-118.827	
0.015625	-140.676	0.015625	-140.676	
0.0171875	-110.969	0.0171875	-110.969	
0.01875	-127.26	0.01875	-127.26	
0.0203125	-126.11	0.0203125	-126.11	
0.021875	-127.451	0.021875	-127.451	
0.0234375	-117.869	0.0234375	-117.869	
0.025	-140.292	0.025	-140.292	
0.0265625	-119.977	0.0265625	-119.977	
0.028125	-160.033	0.028125	-160.033	
0.0296875	-133.009	0.0296875	-133.009	
0.03125	-152.75	0.03125	-152.75	
0.0328125	-131.859	0.0328125	-131.859	
0.034375	-141.059	0.034375	-141.059	
0.0359375	-135.693	0.0359375	-135.693	
0.0375	-150.642	0.0375	-150.642	
0.0390625	-143.359	0.0390625	-143.359	
0.040625	-161.95	0.040625	-161.95	
0.0421875	-166.166	0.0421875	-166.166	
0.04375	-154.475	0.04375	-154.475	
0.0453125	-129.176	0.0453125	-129.176	
0.046875	-140.101	0.046875	-140.101	
0.0484375	-132.626	0.0484375	-132.626	
0.05	-164.824	0.05	-164.824	
0.0515625	-148.342	0.0515625	-148.342	
0.053125	-137.034	0.053125	-137.034	
0.0546875	-158.308	0.0546875	-158.308	
0.05625	-141.634	0.05625	-141.634	
0.0578125	-128.985	0.0578125	-128.985	
0.059375	-131.093	0.059375	-131.093	
0.0609375	-159.841	0.0609375	-159.841	
0.0625	-157.733	0.0625	-157.733	
0.0640625	-120.935	0.0640625	-120.935	
0.065625	-140.676	0.065625	-140.676	
0.0671875	-133.393	0.0671875	-133.393	
0.06875	-152.367	0.06875	-152.367	
0.0703125	-140.676	0.0703125	-140.676	
